,open,high,low,close,volume
2659,584.9199,584.9199,583.5,584.6,94041.0
2660,584.68,584.99,584.1185,584.98,66418.0
2661,584.875,585.4,584.5881,585.291,53833.0
2662,585.2866,585.48,584.3301,584.5,56135.0
2663,584.65,585.4592,584.5,585.15,48664.0
2664,585.15,585.3778,584.6504,584.97,41045.0
2665,585.2199,585.25,583.8,584.1798,63292.0
2666,584.1032,584.1032,582.85,583.55,68025.0
2667,583.5892,584.24,583.41,583.6901,39486.0
2668,583.74,584.118,583.61,583.83,37424.0
2669,583.8544,584.25,583.4,584.0301,42110.0
2670,584.195,584.4,583.76,584.0,46135.0
2671,583.937,584.0,583.2001,583.47,43182.0
2672,583.4936,583.63,582.91,583.3573,46046.0
2673,583.2626,583.51,582.9911,583.0612,28016.0
2674,583.05,583.74,583.03,583.6,41752.0
2675,583.645,583.98,583.5601,583.71,48013.0
2676,583.7914,583.9399,583.5,583.64,26868.0
2677,583.5,583.89,583.5,583.66,36710.0
2678,583.62,583.75,583.5,583.6302,37192.0
2679,583.7,583.85,583.53,583.725,29038.0
2680,583.83,583.85,583.49,583.6575,36980.0
2681,583.69,583.78,581.93,582.52,118579.0
2682,582.52,582.54,580.5,581.005,99913.0
2683,580.95,582.3999,579.9,582.0636,175503.0
2684,581.89,582.1999,578.29,578.9737,184961.0
2685,578.9377,578.94,576.42,578.0,231374.0
2686,578.3,579.84,578.0,579.84,112657.0
2687,579.85,580.96,579.5251,580.0852,131463.0
2688,580.145,580.5,579.6,579.97,86919.0
2689,579.84,580.6,578.8001,580.37,88525.0
2690,580.69,582.18,580.61,581.91,121147.0
2691,581.82,581.83,580.71,581.0319,60646.0
2692,581.0,582.03,580.85,581.33,77495.0
2693,581.1848,581.7599,581.0,581.33,51980.0
2694,581.42,581.95,580.26,580.448,63283.0
2695,580.56,580.8775,579.45,580.42,62031.0
2696,580.3992,581.35,580.17,581.2,35563.0
2697,581.13,581.69,580.8695,581.29,41326.0
2698,581.245,581.65,581.07,581.635,23461.0
2699,581.625,582.98,581.625,582.4636,82802.0
2700,582.3978,582.61,582.06,582.34,39333.0
2701,582.345,582.43,582.01,582.205,27127.0
2702,582.205,582.4899,581.713,581.75,36923.0
2703,581.9253,582.48,581.7201,582.22,45736.0
2704,582.0001,582.43,581.8001,582.365,27557.0
2705,582.3,582.85,582.3,582.7032,40083.0
2706,582.57,582.685,581.26,581.6184,45330.0
2707,581.715,582.0,581.21,581.43,39657.0
2708,581.346,581.4599,580.0,580.1594,74419.0
2709,580.05,580.8913,579.8523,580.815,76740.0
2710,580.87,581.0,580.22,580.375,37948.0
2711,580.5,580.55,579.5,579.695,56766.0
2712,579.8768,580.3449,579.36,579.5,46297.0
2713,579.5,580.68,579.4801,580.5558,38720.0
2714,580.615,580.6744,579.8,579.838,30226.0
2715,580.0,580.0,579.3,579.6064,45236.0
2716,579.73,580.0,579.2,579.92,41397.0
2717,580.0,580.5,579.8721,580.1,35094.0
2718,580.19,580.78,580.11,580.5744,33406.0
2719,580.4403,580.66,579.8393,580.26,29560.0
2720,580.21,580.81,580.1728,580.81,34244.0
2721,580.81,581.56,580.63,581.5599,59730.0
2722,581.325,581.49,580.8,581.185,46229.0
2723,581.1,581.8299,581.0,581.7563,43040.0
2724,581.7953,581.98,581.55,581.9,55998.0
2725,581.98,582.0,581.44,581.53,45267.0
2726,581.635,581.97,581.635,581.79,33663.0
2727,581.81,581.9,581.1301,581.4413,32069.0
2728,581.49,581.9,581.2822,581.82,31496.0
2729,581.9,582.66,581.69,582.205,59315.0
2730,582.2,582.6097,581.8201,581.97,35326.0
2731,581.9476,582.26,581.6,582.2085,27778.0
2732,582.1624,582.3,581.61,581.8,16832.0
2733,581.85,582.4,581.6981,582.2104,41813.0
2734,582.2072,582.4,581.68,581.795,22099.0
2735,581.7872,582.0,580.4,580.485,47134.0
2736,580.6,581.418,580.56,581.418,28202.0
2737,581.2091,581.79,581.13,581.46,28615.0
2738,581.48,581.89,581.44,581.66,19139.0
2739,581.74,581.88,581.5,581.7496,14325.0
2740,581.87,582.09,581.72,581.945,26726.0
2741,581.9113,582.4,581.9113,582.4,39834.0
2742,582.26,582.39,581.96,582.035,22649.0
2743,582.0204,582.2766,581.8501,581.9401,33377.0
2744,582.0709,582.2112,581.87,581.9992,22783.0
2745,582.03,582.45,581.5218,581.6,44763.0
2746,581.54,581.6056,580.96,581.31,35231.0
2747,581.4,581.85,581.33,581.4,24802.0
2748,581.5,581.57,581.04,581.2684,16930.0
2749,581.16,581.9699,581.131,581.84,20555.0
2750,581.865,582.2999,581.69,582.188,48389.0
2751,582.235,582.4,582.05,582.202,26885.0
2752,582.2699,582.2699,581.4101,581.5264,34408.0
2753,581.4301,581.46,580.72,580.8386,35928.0
2754,580.83,580.9083,580.3,580.61,41446.0
2755,580.45,581.12,580.42,581.0044,56374.0
